,period,urb_rural,age_group,med,prob_25,prob_75,prev,date
1,end_calib,all,a,0.856347833,0.851671061,0.862239971,NA,NA
2,end_calib,all,all,0.680448606,0.658882925,0.719644955,NA,NA
3,end_calib,all,c,0.523624962,0.485395488,0.592264894,NA,NA
4,end_calib,all,e,0.838919045,0.835102731,0.848628195,NA,NA
5,end_calib,rural,all,0.677031064,0.654303797,0.717196672,NA,NA
6,end_calib,urban,all,0.687092188,0.666479121,0.724494957,NA,NA
7,post_wave1,urban,a,0.018253407,0.014172341,0.026698413,0.039026923,10/22/2020
8,post_wave1,urban,all,0.01645987,0.013249933,0.023792201,0.036353846,10/22/2020
9,post_wave1,urban,c,0.015101065,0.011987913,0.022610649,0.026446154,10/22/2020
10,post_wave1,urban,e,0.011059945,0.008831026,0.015810681,0.028961538,10/22/2020
11,post_wave2,rural,a,0.318072691,0.291254763,0.351350516,0.297,5/19/2021
12,post_wave2,rural,all,0.277845527,0.262401722,0.305790333,0.276,5/19/2021
13,post_wave2,rural,c,0.252787264,0.225172075,0.284572902,0.256,5/19/2021
14,post_wave2,rural,e,0.253222373,0.237337409,0.272971889,0.25,5/19/2021
15,post_wave2,urban,all,0.169198237,0.160020517,0.190760025,0.21,5/19/2021
16,post_wave3,rural,a,0.592435979,0.557335863,0.639533738,0.57223796,10/1/2021
17,post_wave3,rural,all,0.541809511,0.511772754,0.587520499,0.542227662,10/1/2021
18,post_wave3,rural,c,0.507854167,0.470263098,0.560727917,0.4522,10/1/2021
19,post_wave3,rural,e,0.511974054,0.48902678,0.569006489,0.553745928,10/1/2021
20,post_wave4,rural,a,0.863904757,0.848317727,0.880467537,0.862204724,1/1/2022
21,post_wave4,rural,all,0.746665037,0.72004126,0.781450523,0.786423841,1/1/2022
22,post_wave4,rural,c,0.654228696,0.6130323,0.708805607,0.635658915,1/1/2022
23,post_wave4,rural,e,0.823037572,0.811275114,0.845044541,0.787330317,1/1/2022
24,post_wave4_2,rural,a,0.882153078,0.875951296,0.88955924,NA,NA
25,post_wave4_2,rural,all,0.726843401,0.702499696,0.762385749,NA,NA
26,post_wave4_2,rural,c,0.602356229,0.561017622,0.661825607,NA,NA
27,post_wave4_2,rural,e,0.861289056,0.856159194,0.872990162,NA,NA
28,wave2,urban,all,0.078755831,0.067566171,0.099699562,0.09,1/30/2021
