,X1,X2,X3,X4,X5,X6,X7,X8,avg1,date_txt,yr,mon,day,date,avg_sm,avg_sm2,r0_t,r0_t_sm
1,0.006032535,0.005200338,0.005053954,0.005264885,0.005556893,0.006005617,0.006208668,0.006514936,0.005729728,20200614,2020,6,0,6/14/2020,0.01044,0.01044,2.950516031,NA
2,0.006727062,0.00706272,0.006967437,0.005807673,0.006173892,0.006650762,0.006851317,0.007262862,0.006687966,20200615,2020,6,1,6/15/2020,0.01044,0.01044,2.764334934,NA
3,0.00745183,0.007513541,0.007383615,0.007134811,0.007054217,0.006912006,0.006904819,0.007335346,0.007211273,20200616,2020,6,2,6/16/2020,0.01044,0.01044,2.678546916,NA
4,0.007693129,0.007742053,0.007828984,0.007696965,0.007501587,0.007563379,0.008454383,0.009294106,0.007971823,20200617,2020,6,3,6/17/2020,0.01044,0.01044,2.570736961,NA
5,0.010501167,0.01193333,0.012160905,0.011888711,0.011707955,0.012200192,0.012520724,0.012111776,0.011878095,20200618,2020,6,4,6/18/2020,0.01044,0.01044,2.234686754,NA
6,0.012349315,0.01248411,0.013141314,0.013075756,0.012013976,0.011052342,0.010969519,0.011510374,0.012074588,20200619,2020,6,5,6/19/2020,0.01044,0.01044,2.224426762,NA
7,0.01242801,0.012347221,0.012092272,0.012066847,0.012073888,0.01210307,0.012378247,0.012734849,0.01227805,20200620,2020,6,6,6/20/2020,0.01044,0.01044,2.21427533,NA
8,0.013375669,0.013099213,0.01253822,0.012502124,0.013002207,0.012583327,0.01257758,0.01292117,0.012824939,20200621,2020,6,7,6/21/2020,0.01044,0.01044,2.189207573,NA
9,0.013316987,0.013561556,0.013413837,0.013114979,0.012569858,0.011795564,0.011946907,0.012882398,0.012825261,20200622,2020,6,8,6/22/2020,0.01044,0.01044,2.189193718,NA
10,0.013775009,0.01351361,0.013316764,0.013752606,0.013837629,0.013839021,0.014195336,0.013336237,0.013695776,20200623,2020,6,9,6/23/2020,0.01044,0.01044,2.15520225,NA
11,0.014170227,0.014763162,0.015231722,0.015818885,0.015970377,0.012419612,0.008755162,0.008430016,0.013194895,20200624,2020,6,10,6/24/2020,0.01044,0.01044,2.173934628,NA
12,0.008924938,0.010148128,0.010505259,0.009762784,0.00796154,0.007162717,0.007996968,0.009245364,0.008963462,20200625,2020,6,11,6/25/2020,0.01044,0.01044,2.455470351,NA
13,0.010358605,0.011186134,0.011282108,0.010399085,0.009575152,0.008562992,0.00784825,0.007766871,0.0096224,20200626,2020,6,12,6/26/2020,0.01044,0.01044,2.392062922,NA
14,0.008100639,0.009213553,0.010323221,0.01091813,0.010673149,0.011497383,0.01393569,0.014742872,0.01117558,20200627,2020,6,13,6/27/2020,0.010438131,0.010438131,2.275358507,2.390568117
15,0.015198403,0.014952593,0.014837362,0.014687214,0.013722275,0.012020001,0.01203652,0.012456148,0.013738815,20200628,2020,6,14,6/28/2020,0.011010209,0.011010209,2.153690055,2.333651976
16,0.014267968,0.014891171,0.013255105,0.012057245,0.012559658,0.011530409,0.011299857,0.010920249,0.012597708,20200629,2020,6,15,6/29/2020,0.011432333,0.011432333,2.199245902,2.293288474
17,0.011382596,0.011616254,0.011245889,0.01138233,0.011530652,0.01086943,0.010822995,0.011023175,0.011234165,20200630,2020,6,16,6/30/2020,0.011719683,0.011719683,2.27171282,2.264228895
18,0.011582449,0.011971369,0.012179242,0.012267395,0.012256238,0.011164499,0.011110332,0.011412357,0.011742985,20200701,2020,7,17,7/1/2020,0.011989051,0.011989051,2.242012441,2.240748572
19,0.012000901,0.01251368,0.012437511,0.012084831,0.012210725,0.011217938,0.010996427,0.010825233,0.011785906,20200702,2020,7,18,7/2/2020,0.011982466,0.011982466,2.239660827,2.241103863
20,0.012233133,0.013152251,0.012188459,0.013087735,0.013704672,0.011915828,0.012654285,0.014915071,0.012981429,20200703,2020,7,19,7/3/2020,0.012047241,0.012047241,2.182589976,2.238115521
21,0.015284211,0.0149692,0.013645384,0.01161167,0.011702977,0.011718819,0.010585529,0.010588926,0.01251334,20200704,2020,7,20,7/4/2020,0.012064047,0.012064047,2.203107116,2.237317792
22,0.011519584,0.012793794,0.012888025,0.013384559,0.014003593,0.011080132,0.009084344,0.009586432,0.011792558,20200705,2020,7,21,7/5/2020,0.011990306,0.011990306,2.23929841,2.240895709
23,0.01055785,0.011465121,0.011582095,0.011597389,0.011105916,0.009183801,0.008943303,0.010810785,0.010655783,20200706,2020,7,22,7/6/2020,0.011835343,0.011835343,2.309924191,2.249519314
24,0.013978741,0.013014447,0.01309,0.012985367,0.013400443,0.01311391,0.013299544,0.013944946,0.013353425,20200707,2020,7,23,7/7/2020,0.011810889,0.011810889,2.167773368,2.250417251
25,0.015044415,0.015706884,0.015904784,0.014832028,0.01500083,0.014576121,0.015275272,0.016052501,0.015299105,20200708,2020,7,24,7/8/2020,0.01196119,0.01196119,2.107767052,2.245690996
26,0.015580568,0.014656593,0.014619201,0.01452421,0.014390525,0.013253282,0.013527257,0.013417792,0.014246179,20200709,2020,7,25,7/9/2020,0.012338527,0.012338527,2.136935854,2.222938532
