"","scen","lab1","kappa_lab","NNT_e","DeathsAverted_e","Deaths_e","NNT","DeathsAverted","Deaths","NumCampaign","FirstVaxTime"
"1","No vax","No vax","1/1000","NA (NA-NA)","0 (0-0)","6319 (5889-6779)","NA (NA-NA)","0 (0-0)","8663 (8060-9302)","0 (0-0)","NA (NA-NA)"
"2","No vax","No vax","1/1500","NA (NA-NA)","0 (0-0)","6319 (5889-6779)","NA (NA-NA)","0 (0-0)","8663 (8060-9302)","0 (0-0)","NA (NA-NA)"
"3","No vax","No vax","1/2000","NA (NA-NA)","0 (0-0)","6319 (5889-6779)","NA (NA-NA)","0 (0-0)","8663 (8060-9302)","0 (0-0)","NA (NA-NA)"
"4","No vax","No vax","1/2500","NA (NA-NA)","0 (0-0)","6319 (5889-6779)","NA (NA-NA)","0 (0-0)","8663 (8060-9302)","0 (0-0)","NA (NA-NA)"
"5","No vax","No vax","1/3000","NA (NA-NA)","0 (0-0)","6319 (5889-6779)","NA (NA-NA)","0 (0-0)","8663 (8060-9302)","0 (0-0)","NA (NA-NA)"
"6","No vax","No vax","1/3500","NA (NA-NA)","0 (0-0)","6319 (5889-6779)","NA (NA-NA)","0 (0-0)","8663 (8060-9302)","0 (0-0)","NA (NA-NA)"
"7","No vax","No vax","1/365","NA (NA-NA)","0 (0-0)","6319 (5889-6779)","NA (NA-NA)","0 (0-0)","8663 (8060-9302)","0 (0-0)","NA (NA-NA)"
"8","No vax","No vax","1/500","NA (NA-NA)","0 (0-0)","6319 (5889-6779)","NA (NA-NA)","0 (0-0)","8663 (8060-9302)","0 (0-0)","NA (NA-NA)"
"9","ann_late","Annual","1/1000","1954 (1837-2136)","3262 (2985-3471)","3053 (2791-3307)","1586 (1477-1744)","4021 (3655-4315)","4638 (4225-5021)","10 (10-10)","300 (300-300)"
"10","ann_late","Annual","1/1500","1954 (1837-2136)","3262 (2985-3471)","3053 (2791-3307)","1586 (1477-1744)","4021 (3655-4315)","4638 (4225-5021)","10 (10-10)","300 (300-300)"
"11","ann_late","Annual","1/2000","1954 (1837-2136)","3262 (2985-3471)","3053 (2791-3307)","1586 (1477-1744)","4021 (3655-4315)","4638 (4225-5021)","10 (10-10)","300 (300-300)"
"12","ann_late","Annual","1/365","1954 (1837-2136)","3262 (2985-3471)","3053 (2791-3307)","1586 (1477-1744)","4021 (3655-4315)","4638 (4225-5021)","10 (10-10)","300 (300-300)"
"13","ann_late","Annual","1/500","1954 (1837-2136)","3262 (2985-3471)","3053 (2791-3307)","1586 (1477-1744)","4021 (3655-4315)","4638 (4225-5021)","10 (10-10)","300 (300-300)"
"14","bi_late","Biennial","1/1000","1469 (1233-1750)","2166 (1820-2580)","4155 (3654-4553)","1203 (972-1462)","2647 (2179-3272)","6022 (5274-6557)","5 (5-5)","300 (300-300)"
"15","bi_late","Biennial","1/1500","1469 (1233-1750)","2166 (1820-2580)","4155 (3654-4553)","1203 (972-1462)","2647 (2179-3272)","6022 (5274-6557)","5 (5-5)","300 (300-300)"
"16","bi_late","Biennial","1/2000","1469 (1233-1750)","2166 (1820-2580)","4155 (3654-4553)","1203 (972-1462)","2647 (2179-3272)","6022 (5274-6557)","5 (5-5)","300 (300-300)"
"17","bi_late","Biennial","1/365","1469 (1233-1750)","2166 (1820-2580)","4155 (3654-4553)","1203 (972-1462)","2647 (2179-3272)","6022 (5274-6557)","5 (5-5)","300 (300-300)"
"18","bi_late","Biennial","1/500","1469 (1233-1750)","2166 (1820-2580)","4155 (3654-4553)","1203 (972-1462)","2647 (2179-3272)","6022 (5274-6557)","5 (5-5)","300 (300-300)"
"19","serothresh-0.5","50% thresh","1/1000","1987 (1832-2159)","3210 (2955-3482)","3106 (2814-3400)","1569 (1436-1711)","4065 (3729-4443)","4588 (4170-5017)","10 (10-10)","546 (531-563)"
"20","serothresh-0.5","50% thresh","1/1500","1713 (1530-2160)","2232 (1770-2498)","4099 (3771-4408)","1278 (1128-1572)","2991 (2432-3388)","5673 (5266-6156)","6 (6-6)","1083 (991-1151)"
"21","serothresh-0.5","50% thresh","1/2000","1505 (1367-1739)","1693 (1464-1863)","4638 (4205-5117)","1127 (1008-1292)","2260 (1970-2527)","6409 (5774-7040)","4 (4-4)","1382 (1338-1542)"
"22","serothresh-0.5","50% thresh","1/2500","1512 (1276-1946)","1264 (981-1497)","5073 (4507-5481)","1139 (940-1477)","1677 (1293-2032)","7017 (6195-7573)","3 (3-3)","1657 (1592-1808)"
"23","serothresh-0.5","50% thresh","1/3000","1381 (1078-2511)","922 (507-1181)","5445 (4898-5875)","1028 (798-1840)","1238 (692-1597)","7474 (6714-8065)","2 (2-2)","2168 (1973-2320)"
"24","serothresh-0.5","50% thresh","1/3500","1302 (821-2314)","597 (281-803)","5776 (5217-6089)","955 (615-1719)","802 (383-1088)","7926 (7145-8353)","1 (1-2)","2560 (2377-2699)"
"25","serothresh-0.5","50% thresh","1/365","3994 (3679-4310)","4894 (4592-5241)","1420 (1249-1577)","3101 (2847-3358)","6322 (5894-6766)","2337 (2051-2589)","31 (30-31)","190 (190-190)"
"26","serothresh-0.5","50% thresh","1/500","3118 (2907-3366)","4503 (4171-4829)","1819 (1639-1993)","2429 (2267-2624)","5779 (5350-6194)","2888 (2617-3175)","22 (22-22)","261 (261-261)"
"27","serothresh-0.6","60% thresh","1/1000","2536 (2377-2777)","4026 (3677-4294)","2313 (2083-2577)","1984 (1853-2175)","5145 (4693-5510)","3538 (3221-3936)","16 (16-16)","345 (340-353)"
"28","serothresh-0.6","60% thresh","1/1500","2008 (1854-2167)","3176 (2944-3440)","3148 (2855-3434)","1586 (1453-1716)","4021 (3717-4389)","4643 (4218-5062)","10 (10-10)","532 (517-549)"
"29","serothresh-0.6","60% thresh","1/2000","1824 (1641-2360)","2446 (1891-2719)","3874 (3613-4274)","1361 (1212-1721)","3279 (2593-3680)","5388 (5039-5833)","7 (7-7)","942 (874-1025)"
"30","serothresh-0.6","60% thresh","1/2500","1558 (1399-1831)","2045 (1739-2276)","4256 (3967-4662)","1155 (1035-1361)","2759 (2341-3078)","5872 (5435-6484)","5 (5-5)","1128 (1055-1194)"
"31","serothresh-0.6","60% thresh","1/3000","1506 (1362-1671)","1692 (1525-1870)","4630 (4219-5046)","1135 (1010-1280)","2245 (1991-2521)","6406 (5788-6979)","4 (4-4)","1369 (1327-1510)"
"32","serothresh-0.6","60% thresh","1/3500","1394 (1197-1771)","1370 (1078-1597)","4931 (4473-5508)","1044 (891-1350)","1830 (1416-2144)","6821 (6138-7612)","3 (3-3)","1608 (1546-1710)"
"33","serothresh-0.6","60% thresh","1/365","5536 (5191-5855)","5307 (5017-5659)","1009 (818-1144)","4236 (3987-4500)","6935 (6528-7368)","1734 (1404-1964)","46 (46-46)","124 (124-124)"
"34","serothresh-0.6","60% thresh","1/500","4330 (4047-4610)","5014 (4709-5363)","1303 (1128-1460)","3342 (3128-3577)","6496 (6069-6940)","2170 (1874-2423)","34 (34-34)","169 (169-169)"
"35","serothresh-0.7","70% thresh","1/1000","3616 (3371-3893)","4768 (4456-5112)","1553 (1392-1732)","2807 (2615-3026)","6147 (5705-6592)","2518 (2257-2799)","27 (27-28)","183 (183-183)"
"36","serothresh-0.7","70% thresh","1/1500","2626 (2437-2845)","4131 (3813-4451)","2193 (1999-2392)","2053 (1902-2241)","5283 (4840-5705)","3391 (3101-3706)","17 (17-17)","275 (275-275)"
"37","serothresh-0.7","70% thresh","1/2000","2135 (1988-2381)","3584 (3214-3850)","2771 (2470-3036)","1681 (1560-1879)","4553 (4073-4907)","4146 (3747-4534)","12 (12-12)","381 (371-395)"
"38","serothresh-0.7","70% thresh","1/2500","2118 (1937-2341)","3011 (2724-3293)","3301 (2971-3596)","1658 (1499-1835)","3846 (3475-4255)","4806 (4322-5230)","10 (10-10)","438 (423-457)"
"39","serothresh-0.7","70% thresh","1/3000","1666 (1558-1934)","2678 (2483-2864)","3636 (3269-4032)","1316 (1202-1543)","3392 (3104-3713)","5268 (4772-5846)","7 (7-8)","582 (562-607)"
"40","serothresh-0.7","70% thresh","1/3500","1731 (1544-2039)","2209 (1876-2476)","4096 (3803-4478)","1303 (1142-1488)","2934 (2571-3349)","5691 (5222-6266)","6 (6-6)","934 (857-1028)"
"41","serothresh-0.7","70% thresh","1/365","8243 (7865-8718)","5740 (5443-6010)","604 (368-755)","6203 (5963-6530)","7620 (7240-7927)","1082 (650-1359)","74 (74-75)","67 (67-67)"
"42","serothresh-0.7","70% thresh","1/500","6518 (6077-6887)","5487 (5193-5816)","834 (645-970)","4958 (4641-5245)","7212 (6819-7618)","1460 (1127-1702)","56 (55-56)","92 (92-92)"
"43","serothresh-0.8","80% thresh","1/1000","6584 (6216-7023)","5534 (5219-5857)","792 (599-928)","5011 (4745-5328)","7274 (6863-7672)","1396 (1055-1636)","57 (57-58)","49 (49-49)"
"44","serothresh-0.8","80% thresh","1/1500","4527 (4223-4924)","5094 (4764-5444)","1230 (1058-1403)","3492 (3256-3793)","6598 (6160-7060)","2057 (1766-2335)","36 (36-37)","73 (73-73)"
